# δAr40_ratio δHe3_ratio
0 6.3504757008558954e-11
-119.54775261636918 95907.831964362311
-578.08422816989594 251703.69907862126
-734.62417557453284 276672.35222202499
-807.51325550781814 286133.70603441418
-849.66494199796443 291111.26643830893
-877.13652865955692 294181.80515642156
0 7.1054273576010019e-12
-218.84868341295538 32688.733160280761
-738.70411250090126 167469.14973492856
-851.00948750722546 217228.24759993746
-896.43805644542874 241107.89191848243
-921.02101786829348 255131.0174041219
-936.42879270843662 264356.18182612839
0 -2.7755575615628914e-12
-326.01832468358128 14835.177981331273
-829.96526939285502 103953.79486917834
-907.93480839740698 156024.95208487113
-937.28531523573383 187297.87520883535
-952.68386255659607 208159.1011927872
-962.16827038933559 223066.15830459571
0 -4.4408920985006262e-13
-578.24390710974296 5257.5186682999702
-932.59117008305202 45895.400642407621
-965.45965159397122 80435.767537312437
-976.93678819653883 107371.23149803896
-982.7782962999853 128964.32372765079
-986.31685353034572 146661.05057341498
0 -1.1102230246251565e-13
-778.57556848363265 3309.3365759455196
-972.58820140551802 30409.040068998165
-986.24157707795052 55789.93702472766
-990.87828886201271 77294.566643162892
-993.21303253896349 95747.927915488821
-994.61916738203456 111756.41241005182
0 2.2204460492503131e-13
-999.99898702938856 3178.0542077812815
-999.99898703357519 29306.631731682926
-999.99898703380779 53947.215681547394
-999.99898703388521 74953.937714591229
-999.99898703392398 93075.448010571752
-999.99898703394729 108867.96251466003
