# δD_ratio δN15_ratio
0 0
-841.24695601336214 -0.0021104465710575226
-885.67264841271663 -0.0042229815894190281
-917.99166815937554 -0.012694068262431024
-922.1981518320971 -0.016942223216798169
-929.86777756797142 -0.04260930222454995
-933.31760095537879 -0.13043256321165764
0 -1.1102230246251565e-13
-270.39899323702912 -3.8118756226126482
-419.60016831745196 -7.5497092072289718
-663.77136110789195 -21.802155583798054
-715.84110180182847 -28.535984229991929
-833.53793547571274 -64.26288618842824
-899.25015752219736 -144.88049182976849
0 2.2204460492503131e-13
-227.3159763667706 -37.979514439777539
-365.83028654137553 -68.915928774874075
-616.11585547384857 -150.81288308481422
-673.73332704160543 -177.12373512729329
-810.09800025683046 -258.20856753374056
-890.17478268210755 -324.16296162299216
0 4.4408920985006262e-13
-191.47877332712204 -201.9235593184745
-317.96744111580932 -261.30310929531788
-568.19705035498453 -325.02258430726738
-630.18925045872993 -335.24127146610283
-784.19399131136697 -355.35126521709236
-879.7455214034095 -365.08468728897691
-2.2204460492503131e-13 1.0880185641326534e-11
-138.27721983770414 -364.68771103294506
-241.01364948129543 -367.32597846764401
-477.55380749098441 -369.10613294141478
-544.332431688459 -369.32986616888098
-727.4279107183404 -369.73327022760725
-855.29086190519911 -369.91284392615211
0 2.7815527658958672e-08
-87.579520358001986 -369.96186622620542
-160.22384788063903 -369.98094166870754
-358.42500573479697 -369.99365972323619
-423.98511215239108 -369.99524954153105
-632.0974960550584 -369.99811124889203
-808.46887151655903 -369.99938313303949
