# δD_ratio δN15_ratio
0 2.2204460492503131e-13
-278.68042237084131 -0.008741177525362076
-429.38420888118088 -0.017482116858147378
-523.80459004767113 -0.026222818007903825
-588.51049191578556 -0.034963280984512402
-635.62173746551332 -0.043703505797410003
-741.08915379333598 -0.078662023607178888
0 -1.1102230246251565e-13
-159.49312909292024 -0.063711739367700027
-272.50446511521511 -0.12740281457057634
-356.76926902580465 -0.19107323566025514
-422.01826685006438 -0.25472301268192332
-474.03567170596318 -0.31835215567421749
-607.05821449277721 -0.5726625878944569
0 -2.2204460492503131e-13
-151.29303323988364 -0.20058759761643064
-260.44539056266581 -0.40096182982485296
-342.91136966282943 -0.60112303688053537
-407.41164818995514 -0.80107155831465882
-459.24043929982781 -1.0008077329386467
-593.45630581466651 -1.7976357144042776
0 0
-148.20507845123544 -0.65336068098509337
-255.85691509997145 -1.3044309674160592
-337.59714841803412 -1.9532228818902597
-401.77613494027742 -2.5997483630083584
-453.50425585749178 -3.2440192661050693
-588.11603316288961 -5.7987913310734163
0 0
-146.81109143150883 -2.1483247640950998
-253.77697031703795 -4.2718882069606723
-335.18066088647134 -6.3711159694695985
-399.20724024321618 -8.4464239925294837
-450.8842885661868 -10.49821879183277
-585.6643107280903 -18.478080801829222
0 -9.0261131902025227e-11
-144.27877809992196 -369.62318778213233
-249.98480209579699 -369.81149978880444
-330.76270208432078 -369.8743131046528
-394.50040538571506 -369.90572776499374
-446.07542843751901 -369.92457912275501
-581.14355491789013 -369.95809739236131
